acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,Max Search Time Delta
0.317,"['Justin Bieber', 'Quavo']",0.8109999999999999,212869,0.5529999999999999,0,364dI1bYnvamSnBJ8JcNzN,0.0,9,0.105,-6.644,1,Intentions,80,2020-02-07,0.0552,148.014,0.86,2020,65836800.0
0.0404,"['MEDUZA', 'Goodboys']",0.677,152913,0.7440000000000001,0,1DFD5Fotzgn6yYXkYsKiGs,0.00016,10,0.07400000000000001,-6.806,0,Piece Of Your Heart,81,2019-02-01,0.0295,124.08,0.631,2019,0.0
0.615,['Harry Styles'],0.53,259187,0.512,0,2IOFZdYYkFxEHVz1w34PoL,0.004529999999999999,7,0.129,-9.261,1,Cherry,78,2019-12-13,0.0259,95.946,0.411,2019,0.0
0.305,"['BENEE', 'Gus Dapperton']",0.863,223480,0.631,1,4nK5YrxbMGZstTLbvj6Gxw,3.04e-05,7,0.123,-4.689,1,Supalonely,82,2019-11-15,0.0534,128.977,0.8170000000000001,2019,34214400.0
0.0128,['PUBLIC'],0.606,232907,0.799,0,5iFwAOB2TFkPJk8sMlxP8g,0.0,9,0.15,-4.452,1,Make You Mine,80,2019-08-09,0.0261,103.014,0.638,2019,544320000.0
0.36,['Ariana Grande'],0.487,201882,0.534,0,3UoULw70kMsiVXxW0L3A33,0.0,0,0.1,-5.664,0,pov,87,2020-10-30,0.0555,131.798,0.173,2020,178848000.0
0.0489,['Ariana Grande'],0.525,204093,0.621,0,0lizgQ7Qw35od7CYaoMBZb,0.0,7,0.294,-7.364,1,Santa Tell Me,88,2014-11-24,0.116,191.9,0.591,2014,199843200.0
0.0439,"['Lil Durk', 'King Von']",0.877,172185,0.677,1,43BlKpJcSrC9AsJ3F1DKg9,0.0,5,0.0986,-4.9689999999999985,0,Still Trappin' (with King Von),80,2020-12-24,0.35600000000000004,144.941,0.627,2020,
0.0172,"['Marshmello', 'Demi Lovato']",0.743,159863,0.8370000000000001,0,0zzVTGyRrWpQu8Fr28NRAv,0.0,1,0.0743,-5.025,0,OK Not To Be OK,81,2020-09-10,0.0649,103.072,0.263,2020,23673600.0
0.000282,['Kendrick Lamar'],0.908,177000,0.621,1,7KXjTSCq5nL1LoYtL7XAwS,5.39e-05,1,0.0958,-6.638,0,HUMBLE.,82,2017-04-14,0.102,150.011,0.421,2017,126230400.0
0.233,['Post Malone'],0.675,256533,0.562,1,6eT7xZZlB2mwyzJ2sUKG6w,0.0,7,0.0816,-7.678,1,White Iverson,77,2016-12-09,0.0352,130.09799999999998,0.309,2016,168307200.0
0.8270000000000001,['Luke Combs'],0.552,219573,0.225,0,6gdLyYNuhWBzqwlOFSsXC7,0.0,0,0.111,-11.501,1,Better Together,79,2019-11-08,0.0477,138.002,0.67,2019,436579200.0
0.16399999999999998,['Coldplay'],0.209,295533,0.417,0,7LVHVU3tWfcxj5aiPFEW4Q,0.00196,3,0.113,-8.74,1,Fix You,81,2005-06-07,0.0338,138.178,0.124,2005,28944000.0
0.00286,['Eminem'],0.908,290320,0.669,1,7lQ8MOhq6IN2w8EYcFNSUk,0.0,7,0.237,-2.827,1,Without Me,82,2002-05-26,0.0738,112.238,0.662,2002,73612800.0
0.0484,"['Future', 'Juice WRLD']",0.6559999999999999,141587,0.542,1,5274I4mUMnYczyeXkGDWZN,0.0,7,0.126,-7.358,1,Fine China,76,2018-10-19,0.32299999999999995,166.111,0.551,2018,252460800.0
0.205,['Chris Stapleton'],0.392,293293,0.37,0,3fqwjXwUGN6vbzIwvyFMhx,0.0096,9,0.0821,-10.888,1,Tennessee Whiskey,79,2015-05-04,0.0298,48.718,0.512,2015,170899200.0
0.181,"['Timbaland', 'Keri Hilson', 'D.O.E.']",0.731,179120,0.807,0,2bLqfJjuC5syrsgDsZfGmn,0.7509999999999999,3,0.319,-6.492000000000001,0,The Way I Are,76,2007-01-01,0.1,114.759,0.765,2007,433987200.0
