id,acousticness,name,artists,danceability,duration_ms,energy,explicit,instrumentialness key,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year,Sampled Times,CoveredTimes,Remix Times,Remix of ,Sample of,Cover Of
5MHi3lby1uc07r6aMWZSGC,0.00135,Rise Up,"['Luca Debonaire', 'Christopher Nox']",0.862,300952,0.655,0,0.369,10,0.0696,-5.056,1,0,2021-01-15,0.11,125.996,0.764,2021,-1,-1,-1,-1,-1,-1
5MHi3lby1uc07r6aMWZSGC,0.00135,Rise Up,"['Luca Debonaire', 'Christopher Nox']",0.862,300952,0.655,0,0.369,10,0.0696,-5.056,1,0,2021-01-15,0.11,125.996,0.764,2021,-1,-1,-1,-1,-1,-1
2etHQJxIbV0soyPhelVs9Y,0.00302,Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",0.84,155884,0.766,1,3.61E-06,4,0.0684,-4.12,1,84,2021-01-07,0.136,94.018,0.402,2021,-1,-1,-1,-1,-1,-1
6VmyN2WoI2tAesZVmLwbpR,0.00283,Bad Boy (with Young Thug),"['Juice WRLD', 'Young Thug']",0.674,157355,0.674,0,0,1,0.176,-6.374,1,54,2021-01-15,0.0618,162.984,0.211,2021,-1,-1,-1,-1,-1,-1
7v1zk76XQqz6F411INMEe3,0.941,Fatinitza-Marsch,"['Franz von Suppé', 'Riccardo Muti', 'Wiener Philharmoniker']",0.662,184987,0.401,0,0.905,7,0.288,-13.296,1,35,2021-01-08,0.0388,117.287,0.669,2021,-1,-1,-1,-1,-1,-1
7v1zk76XQqz6F411INMEe3,0.941,Fatinitza-Marsch,"['Franz von Suppé', 'Riccardo Muti', 'Wiener Philharmoniker']",0.662,184987,0.401,0,0.905,7,0.288,-13.296,1,35,2021-01-08,0.0388,117.287,0.669,2021,-1,-1,-1,-1,-1,-1
5rZxDxxk1pbqJwoIY1twAx,0.00471,Rave Daze (Year in Review 2020),['Genix'],0.297,180916,0.954,0,0.756,8,0.0983,-12.088,1,0,2021-01-22,0.0619,129.941,0.0921,2021,-1,-1,-1,-1,-1,-1
0DFMETUSUVamAq088wsqbp,0.00291,El Jefe (Year in Review 2020),['Chris Schweizer'],0.702,119468,0.903,0,0.758,4,0.104,-8.206,0,1,2021-01-22,0.0654,128.57,0.074,2021,-1,-1,-1,-1,-1,-1
0Xw0fH0DU8A7J7KM9xEKxG,3.00E-06,Reaching Up (Year in Review 2020),['Anske'],0.444,160506,0.733,0,0.00821,2,0.761,-9.651,1,0,2021-01-22,0.0539,131.808,0.0618,2021,-1,-1,-1,-1,-1,-1
0LlGOhlqWyhdCnbBylEgcj,0.000256,Closing In (Year in Review 2020),['Arkham Knights'],0.535,209957,0.801,0,0.911,9,0.342,-9.713,1,2,2021-01-22,0.0414,127.997,0.0328,2021,-1,-1,-1,-1,-1,-1
